iter	RMSE
0	13.66300874
1	12.47591487
2	11.38752664
3	10.46118046
4	9.784794877
5	9.177064434
6	8.652902399
7	8.21646466
8	7.857012594
9	7.565512107
10	7.213227054
11	6.946125662
12	6.712809699
13	6.52179585
14	6.410587507
15	6.283376297
16	6.169019361
17	6.084264833
18	5.99264956
19	5.906016023
20	5.836590413
21	5.775734904
22	5.740111106
23	5.685204713
24	5.651134063
25	5.618808241
26	5.59161387
27	5.556912707
28	5.529151411
29	5.504642535
30	5.479360894
31	5.455449696
32	5.44386899
33	5.432089722
34	5.409212244
35	5.395603064
36	5.382247446
37	5.372261265
38	5.354796573
39	5.339507071
40	5.337174893
41	5.319993694
42	5.311585677
43	5.300893239
44	5.290502761
45	5.276135804
46	5.262969715
47	5.254658546
48	5.245142428
49	5.226139199
50	5.217338461
51	5.212032669
52	5.206660717
53	5.195882457
54	5.187923621
55	5.176035125
56	5.168202689
57	5.155989762
58	5.137250549
59	5.122707669
60	5.109974928
61	5.096661521
62	5.091672101
63	5.083421083
64	5.079528592
65	5.076020522
66	5.066964149
67	5.060802288
68	5.05331097
69	5.049887498
70	5.045433887
71	5.036289824
72	5.02385278
73	5.016879615
74	5.002033808
75	4.990533783
76	4.988055437
77	4.987674063
78	4.974254327
79	4.964214856
80	4.956398923
81	4.937816129
82	4.93354167
83	4.921440397
84	4.918930974
85	4.91663969
86	4.907392956
87	4.895851522
88	4.894459706
89	4.883477083
90	4.88135509
91	4.873942904
92	4.86681986
93	4.857257623
94	4.851550759
95	4.847317143
96	4.83704252
97	4.833660192
98	4.82220759
99	4.81383547
100	4.812144324
101	4.801000503
102	4.785102903
103	4.77448386
104	4.767401819
105	4.759079375
106	4.750007644
107	4.74801518
108	4.736208959
109	4.729040823
110	4.718845575
111	4.716006117
112	4.701562297
113	4.68979435
114	4.677659185
115	4.676888928
116	4.670824979
117	4.658497729
118	4.646874844
119	4.637267688
120	4.627759178
121	4.616775286
122	4.61266519
123	4.607489699
124	4.602125068
125	4.590845001
126	4.585797496
127	4.578226422
128	4.571568501
129	4.564410843
130	4.556535733
131	4.550374388
132	4.548946069
133	4.543662752
134	4.533751996
135	4.527434163
136	4.522445686
137	4.512411948
138	4.504877204
139	4.494532305
140	4.491720138
141	4.488936949
142	4.48454317
143	4.474232212
144	4.467952003
145	4.459389299
146	4.458853551
147	4.455749774
148	4.455597822
149	4.44605731
150	4.444650992
151	4.44102764
152	4.439907766
153	4.439460622
154	4.433306388
155	4.424714034
156	4.42009701
157	4.407564893
158	4.402571819
159	4.39587024
160	4.39076434
161	4.386675119
162	4.382147694
163	4.381222009
164	4.379402221
165	4.374961566
166	4.366109524
167	4.35946412
168	4.355281495
169	4.352778989
170	4.350281124
171	4.345183622
172	4.341054031
173	4.3380729
174	4.332392174
175	4.323400907
176	4.316650076
177	4.30908393
178	4.302710314
179	4.288887738
180	4.286118652
181	4.280676358
182	4.280566045
183	4.273999366
184	4.271300673
185	4.268531611
186	4.261699518
187	4.253472368
188	4.248244201
189	4.245685026
190	4.238062167
191	4.233206228
192	4.232040446
193	4.230893479
194	4.225076373
195	4.218128141
196	4.213438791
197	4.201743733
198	4.193310236
199	4.188451363
