iter	Passed	Remaining
0	139	139241
1	141	70443
2	142	47494
3	144	35983
4	146	29101
5	147	24484
6	149	21196
7	151	18761
8	153	16848
9	154	15302
10	156	14030
11	157	12972
12	159	12098
13	161	11349
14	162	10693
15	164	10114
16	166	9617
17	168	9173
18	169	8768
19	171	8407
20	173	8076
21	174	7772
22	176	7497
23	178	7239
24	179	7002
25	181	6786
26	182	6593
27	184	6408
28	186	6235
29	187	6070
30	189	5915
31	190	5773
32	192	5637
33	193	5511
34	195	5391
35	197	5282
36	198	5175
37	200	5074
38	202	4982
39	203	4888
40	205	4801
41	206	4719
42	208	4641
43	210	4564
44	211	4490
45	213	4419
46	214	4354
47	216	4291
48	217	4228
49	219	4169
50	221	4112
51	222	4057
52	224	4005
53	225	3952
54	227	3904
55	228	3856
56	230	3809
57	231	3765
58	233	3722
59	234	3680
60	236	3641
61	238	3603
62	239	3566
63	241	3531
64	243	3495
65	244	3460
66	246	3426
67	247	3394
68	249	3362
69	250	3331
70	252	3304
71	254	3276
72	255	3246
73	257	3219
74	258	3192
75	260	3167
76	262	3142
77	263	3116
78	265	3091
79	266	3067
80	268	3043
81	269	3020
82	270	2989
83	272	2967
84	273	2947
85	275	2926
86	276	2906
87	278	2886
88	280	2866
89	281	2847
90	283	2828
91	284	2811
92	286	2792
93	287	2775
94	289	2758
95	291	2740
96	292	2723
97	294	2707
98	295	2691
99	297	2675
100	299	2661
101	300	2647
102	302	2633
103	304	2621
104	306	2608
105	308	2599
106	310	2589
107	312	2578
108	313	2566
109	315	2556
110	317	2544
111	319	2532
112	321	2521
113	322	2509
114	324	2497
115	326	2487
116	328	2477
117	330	2467
118	331	2457
119	333	2446
120	335	2437
121	337	2425
122	339	2417
123	340	2408
124	342	2397
125	344	2389
126	346	2383
127	348	2374
128	350	2365
129	352	2358
130	354	2351
131	356	2343
132	357	2333
133	359	2324
134	361	2319
135	363	2312
136	365	2304
137	367	2296
138	369	2288
139	371	2280
140	373	2273
141	374	2262
142	376	2254
143	378	2247
144	379	2239
145	381	2233
146	383	2226
147	385	2219
148	387	2212
149	389	2204
150	390	2198
151	392	2191
152	394	2183
153	396	2176
154	398	2172
155	400	2166
156	402	2160
157	404	2154
158	407	2155
159	410	2153
160	411	2143
161	413	2136
162	414	2130
163	416	2124
164	418	2118
165	420	2112
166	422	2106
167	424	2100
168	426	2095
169	428	2091
170	430	2085
171	431	2079
172	433	2073
173	436	2071
174	438	2065
175	440	2060
176	442	2056
177	444	2052
178	446	2046
179	447	2040
180	449	2035
181	452	2031
182	453	2025
183	455	2020
184	457	2014
185	459	2009
186	460	2004
187	462	1998
188	465	1995
189	466	1990
190	468	1984
191	470	1979
192	472	1973
193	474	1971
194	476	1965
195	477	1960
196	479	1956
197	481	1950
198	483	1945
199	485	1940
200	486	1935
201	488	1930
202	490	1925
203	492	1921
204	494	1916
205	495	1911
206	497	1906
207	499	1901
208	501	1896
209	502	1891
210	504	1888
211	506	1884
212	509	1882
213	511	1878
214	513	1874
215	515	1871
216	517	1868
217	519	1863
218	521	1859
219	523	1855
220	525	1850
221	527	1846
222	528	1842
223	531	1840
224	533	1837
225	535	1833
226	537	1829
227	539	1825
228	540	1821
229	542	1817
230	545	1815
231	547	1810
232	549	1807
233	550	1802
234	552	1799
235	554	1795
236	556	1791
237	558	1787
238	559	1782
239	561	1778
240	563	1774
241	565	1770
242	566	1766
243	568	1761
244	570	1758
245	572	1754
246	574	1750
247	575	1745
248	577	1741
249	579	1737
250	580	1733
251	582	1729
252	584	1724
253	586	1721
254	587	1717
255	589	1713
256	591	1709
257	593	1705
258	595	1702
259	597	1700
260	599	1697
261	601	1694
262	603	1690
263	605	1688
264	607	1684
265	609	1681
266	610	1677
267	612	1673
268	614	1670
269	616	1667
270	618	1664
271	621	1662
272	622	1658
273	624	1655
274	626	1652
275	628	1649
276	630	1645
277	632	1642
278	634	1638
279	635	1635
280	637	1631
281	640	1631
282	643	1629
283	644	1625
284	646	1622
285	649	1620
286	651	1619
287	653	1615
288	655	1612
289	658	1611
290	660	1608
291	662	1607
292	664	1604
293	666	1600
294	668	1597
295	670	1594
296	672	1590
297	673	1587
298	676	1586
299	678	1583
300	680	1580
301	682	1576
302	684	1574
303	686	1571
304	688	1567
305	689	1564
306	692	1562
307	694	1559
308	695	1555
309	697	1553
310	699	1550
311	701	1546
312	703	1543
313	705	1541
314	707	1538
315	709	1535
316	710	1531
317	712	1528
318	714	1525
319	716	1522
320	718	1518
321	719	1515
322	721	1512
323	723	1509
324	726	1508
325	729	1507
326	731	1504
327	732	1501
328	734	1498
329	736	1495
330	738	1491
331	739	1488
332	741	1484
333	743	1482
334	745	1479
335	746	1476
336	748	1473
337	750	1470
338	752	1467
339	754	1464
340	756	1461
341	758	1459
342	760	1455
343	762	1453
344	764	1451
345	766	1448
346	768	1445
347	770	1443
348	772	1440
349	773	1437
350	776	1435
351	778	1433
352	780	1431
353	782	1428
354	784	1426
355	787	1424
356	789	1422
357	792	1421
358	795	1419
359	797	1416
360	798	1413
361	800	1411
362	802	1408
363	804	1406
364	806	1403
365	808	1400
366	810	1398
367	812	1394
368	814	1392
369	815	1389
